Index,,text
0,,"Today took my pet to vet clinic and came to know she was carrying, so excited and surprised for my fur baby."
1,,"I found a new aerobic at the gym, it was pulling a rope, sitting down, I was so happy because I burned 240 calories in 16 minutes"
2,,The best moment when I won dota2 championship
3,,"I went to a friend's birthday party, and we played fun games."
4,,My husband and I after working dinner day cooking together while my daughter had about how was your day at school.
5,,"I woke up extremely early today, making my day productive and me happy."
6,,A stroll in the park with the love of my life today.
7,,"The cute baby rabbit was in my yard again today, I sure hope he comes back tomorrow!"
8,,There was no traffic getting to work today.
9,,Going to the beach with friends
10,,"Today morning my lovable, an year old kid started walking alone, seeing that am very happy."
11,,I enjoy going to the gym early in the morning and taking a spin class.
12,,when i born
13,,I ate a delicious chocolate sundae.
14,,I bought a new Crepe Myrtle today.
15,,Early morning in the beach having breakfast with the family.
16,,I came home from work and my dog licked my face and was happy to see me.
17,,I got a new pet kitten.
18,,I travelled through public transport today.
19,,Walking out of the gym after a vigorous workout.
20,,"Opening the front door in the middle of the day, just to feel the humid breeze coming in from the ocean"
21,,The day when i purchased halo 4 five days early to play for xbox.
22,,Me and my partner won our game of horseshoes against our opponents.
23,,I went for a bike ride in the early morning.
24,,Have a good chance of getting this temp gig I found on Craigslist.
25,,I was sent home from work early today.
26,,Speaking with my step dad yesterday.
27,,On the weekend I got to sleep in far past the time I usually wake up at during the week.
28,,This morning I woke up to a cat laying on my belly and purring.
29,,My son woke up and came to cuddle with me.
30,,I went on a date with my wife tonight.
31,,My cats came running to me when I got home.
32,,"Today i have done 65 hits in mturk , highest by me in a single day till now,  so i am happy."
33,,Alone in my room in the morning listening to loud music.
34,,This morning I hugged my wife and kissed her.
35,,I went to the dog park and watched the sweet puppies play.
36,,Today my cute daughter perform dance for song.
37,,I had a lovely lunch with my mother.
38,,I woke up this morning feeling energetic and refreshed.
39,,I found potatoes in the pantry.
40,,"Finding out that work will be a little bit easier, Less load to crunch."
41,,I finally finished Harry Potter and the Cursed Child today and it was really good to get into reading again.
42,,When my son Said loudly I farted in front family
43,,The weather was cool enough that I could walk the dogs around the block.
44,,I had so much fun at the zoo today with my family.
45,,I was able to eat dinner with my girlfriend.
46,,I kissed my girlfriend for the first time
47,,The dogs and I saw the doe with her twin fawns this morning during our walk.
48,,I light the candle next to my computer and start playing my daily-routine playlist.
49,,I woke up and couldn't stop looking at the beautiful sunny sky.
50,,"Waking up and playing with the kittens, so warm and fuzzy."
51,,"Today successfuly i completed my first week of muscle building workout,reduced one kg,felt very happy."
52,,I had a happy moment when my son gave me a big hug before going into his school.
53,,"We stayed at the beach yesterday night, seeing the sun rising was just breathtaking."
54,,Packing for my vacation today brings much joy.
55,,"Early Cloudy Morning wake up too early to going the Temple , Because that's my birthday"
56,,Today after a long time I spent my time with my very close friend and felt very happy and jolly.
57,,I watched Simone win golf on floor last night.
58,,I played bingo with my son and my grandpa.
59,,I got to sleep in today.
60,,"My non-verbal Special-Needs little girl signed, ""I love you, MaMa,"" and it filled me with joy!"
61,,"Me and My friends are going to outing today after a long time approximately 6 months, really happy"
62,,"Today, I went to Water Park with all my classmates."
63,,I visited my friend today and was happy to see her.
64,,Realizing I was free on my drive home from work
65,,My dog was really excited when he saw me.
66,,"My happy moment is that smell when the coffee starts brewing , you know you are seconds away from waking up completely ."
67,,Sat down to eat a hot breakfast with my wife.
68,,I love lounging in my bed petting my cat on his chin.
69,,Went clothes shopping today.
70,,Yesterday my piano got tuned and now it sounds great.
71,,I got the house to myself.
72,,Getting to work and everyone is cooperating.
73,,My wife brought me coffee while I was still in bed this morning.
74,,Made myself a computer monitor stand.
75,,I gave my nephew a cooking toy for his birthday and he played with it for a long time.
76,,When I asked wife to marry me.
77,,"Last year , My first kiss from my beloved girlfriend, it was the happiest time I've spent, the sun was perfect."
78,,Waking up and sitting outside while Sun comes up.
79,,My wife has dinner ready for me when I get home.
80,,A while back I won at one of the casinos in Las Vegas $1800   I was real happy because I never won any thing my entire life.
81,,I went out for drinks with my husband.
82,,Early morning walking along  with husband  in a windy day is very nice.
83,,I love seeing my wife and children in the evening after work.
84,,I almost beat one of my friends at my favorite game.
85,,Gifted my mummy with a watch which made her a surprise.
86,,I made a delicious bagel with avocado and cream cheese.
87,,"My 6-year-old son is mastering long division, and this filled me with both happiness and relief."
88,,today we celebrated my father in laws 60th birthday + wedding anniversity
89,,"I went for a hike yesterday, the weather was amazing."
90,,I heard from my son who is going to college out of state today.
91,,I was awoken today by both my kids jumping on me and hugging me.
92,,I listened to one of my favorte albums on the way to work today.
93,,"When I get to spend time with my boyfriend, even just do normal things or even nothing."
94,,A stranger bought my drink today.
95,,Hearing my daughter laugh at a joke.
96,,I had Taco Bell for lunch today.
97,,I finished a meeting with my adviser and he was satisfied with my work progress.
98,,Seeing my dogs face when its time to go in the car
99,,"Had business lunch with a high value client, he agreed to my company's offer bagging me the biggest commission I have had in three months."
100,,I watched a silly movie with my kids.
101,,I went for  outing today with my best friend.
102,,When I won a lottery ticket.
103,,I got a seat on the bus this morning.
104,,"Today i met my grandma in local store, im glad to met her because i didnt see her for a long time."
105,,I learned a new technical skill today.
106,,I got my long pending payment today.
107,,I discovered the dogs calm down when I play classical music!
108,,"today was a school holiday for my son , woke up and played with him."
109,,I watched an episode of my current favorite TV show.
110,,"Sammie didn't want to go for a walk for several days, but today he went with no problem!"
111,,Finally went to the gym and played 2 full basketball games with my friends.
112,,My son started his first day on his first job this week and I am happy to see this milestone in his life.
113,,I woke up and my daughter was giggling and hugging me.
114,,today  i went to the store and got my favorite  ice cream
115,,"I got a new laptop, it was much needed."
116,,IT WAS GREAT WINNING MONEY PLAYING ONLINE GAMES
